Index	Region, subregion, country or area *	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
54	Botswana	2209.197	2253.852	2299.45	2345.776	2392.642	2439.896	2487.427	2535.147	2583.005	2630.979	2679.036	2727.129	2775.18	2823.061	2870.625	2917.744	2964.392	3010.56	3056.356	3101.885	3147.243	3192.459	3237.516	3282.451	3327.333	3372.206	3417.063	3461.921	3506.755	3551.563	3596.315	3641.007	3685.609	3730.071	3774.354	3818.39	3862.15	3905.602	3948.7	3991.389	4033.625	4075.372	4116.623	4157.344	4197.509	4237.104	4276.117	4314.565	4352.482	4389.887	4426.851	4463.371	4499.492	4535.272	4570.779	4606.092	4641.234	4676.242	4711.159	4746.051	4780.952	4815.899	4850.892	4885.94	4921.029	4956.158	4991.309	5026.501	5061.692	5096.844	5131.921	5166.921	5201.816	5236.594	5271.208	5305.634	5339.856	5373.866	5407.668	5441.265	5474.648	5507.81	5540.772	5573.511	5606.029	5638.315
55	Lesotho	2174.645	2207.451	2241.127	2275.568	2310.653	2346.287	2382.413	2418.995	2456.016	2493.466	2531.354	2569.682	2608.413	2647.509	2686.88	2726.518	2766.396	2806.553	2847.116	2888.258	2930.113	2972.701	3016.023	3060.107	3104.969	3150.611	3197.051	3244.268	3292.195	3340.76	3389.869	3439.493	3489.604	3540.128	3591.007	3642.187	3693.615	3745.244	3796.996	3848.793	3900.559	3952.257	4003.856	4055.335	4106.647	4157.787	4208.725	4259.446	4309.979	4360.337	4410.543	4460.602	4510.502	4560.267	4609.894	4659.417	4708.826	4758.129	4807.32	4856.406	4905.381	4954.247	5003.001	5051.643	5100.173	5148.599	5196.906	5245.094	5293.152	5341.062	5388.834	5436.432	5483.885	5531.159	5578.269	5625.2	5671.954	5718.52	5764.895	5811.053	5856.998	5902.715	5948.204	5993.444	6038.447	6083.179
56	Namibia	2425.561	2482.497	2540.946	2600.642	2661.395	2723.058	2785.541	2848.806	2912.873	2977.78	3043.558	3110.203	3177.618	3245.605	3313.926	3382.404	3450.957	3519.651	3588.592	3657.965	3727.9	3798.434	3869.555	3941.328	4013.834	4087.135	4161.257	4236.175	4311.892	4388.379	4465.599	4543.532	4622.132	4701.314	4780.98	4861.036	4941.405	5022.069	5102.898	5183.786	5264.66	5345.431	5426.08	5506.55	5586.83	5666.879	5746.676	5826.193	5905.428	5984.347	6062.975	6141.301	6219.304	6297.034	6374.526	6451.806	6528.879	6605.753	6682.44	6758.969	6835.368	6911.631	6987.761	7063.726	7139.482	7214.989	7290.253	7365.255	7439.994	7514.454	7588.621	7662.498	7736.054	7809.289	7882.179	7954.707	8026.862	8098.642	8170.029	8241.037	8311.646	8381.854	8451.664	8521.057	8590.034	8658.581
57	South Africa	55291.225	56078.944	56877.489	57683.326	58493.417	59305.245	60116.815	60926.633	61733.683	62537.316	63337.008	64132.122	64921.635	65704.05	66477.7	67241.572	67995.119	68739.055	69475.212	70206.224	70934.282	71660.061	72383.879	73107.02	73830.83	74556.38	75284.381	76015.137	76748.846	77485.516	78225.081	78967.62	79713.118	80461.283	81211.729	81963.995	82717.908	83473.043	84228.418	84982.825	85735.284	86485.356	87232.861	87977.444	88718.815	89456.777	90191.156	90921.895	91649.175	92373.275	93094.481	93812.919	94528.77	95242.388	95954.239	96664.739	97374.061	98082.427	98790.44	99498.756	100207.883	100918.032	101629.171	102341.127	103053.612	103766.361	104479.286	105192.318	105905.105	106617.223	107328.305	108038.172	108746.678	109453.543	110158.479	110861.251	111561.709	112259.771	112955.444	113648.711	114339.608	115028.16	115714.386	116398.298	117079.926	117759.27
58	Swaziland	1319.011	1345.212	1371.977	1399.205	1426.777	1454.66	1482.76	1511.063	1539.551	1568.226	1597.094	1626.118	1655.297	1684.544	1713.803	1743.028	1772.187	1801.304	1830.472	1859.774	1889.304	1919.071	1949.077	1979.339	2009.885	2040.702	2071.813	2103.206	2134.856	2166.734	2198.794	2231.022	2263.398	2295.895	2328.467	2361.065	2393.675	2426.275	2458.816	2491.244	2523.538	2555.653	2587.594	2619.341	2650.895	2682.247	2713.39	2744.333	2775.069	2805.614	2835.991	2866.193	2896.229	2926.102	2955.831	2985.41	3014.878	3044.2	3073.402	3102.47	3131.433	3160.267	3188.979	3217.571	3246.025	3274.338	3302.505	3330.536	3358.415	3386.164	3413.764	3441.232	3468.546	3495.714	3522.725	3549.574	3576.262	3602.781	3629.14	3655.332	3681.371	3707.244	3732.949	3758.493	3783.872	3809.079
59	Western Africa	352613.862	362589.326	372902.199	383537.093	394483.316	405735.016	417291.353	429156.285	441337.616	453846.005	466690.397	479874.124	493390.916	507223.413	521347.526	535746.259	550413.508	565354.746	580578.91	596100.129	611929.223	628067.681	644513.595	661270.293	678341.15	695728.428	713433.163	731454.718	749790.838	768438.075	787393.208	806653.517	826216.959	846081.213	866244.057	886702.222	907452.948	928491.037	949807.965	971393.609	993239.327	1015339.242	1037690.037	1060288.688	1083133.311	1106221.294	1129547.829	1153107.58	1176896.98	1200912.36	1225149.692	1249603.981	1274269.423	1299139.675	1324207.942	1349467.351	1374912.018	1400535.64	1426330.747	1452289.25	1478403.641	1504666.639	1531071.976	1557614.178	1584288.197	1611088.402	1638007.847	1665038.845	1692173.935	1719405.431	1746725.373	1774126.863	1801601.899	1829140.307	1856730.974	1884363.918	1912030.939	1939725.316	1967441.388	1995173.692	2022916.635	2050664.129	2078409.443	2106145.358	2133863.967	2161556.826
60	Benin	10575.952	10885.149	11204.95	11534.558	11873.382	12220.99	12577.15	12941.833	13315.149	13697.319	14088.535	14488.779	14897.69	15314.541	15738.367	16168.464	16604.549	17046.748	17495.351	17950.8	18413.442	18883.351	19360.474	19845.007	20337.144	20837.041	21344.781	21860.426	22384.102	22915.968	23456.125	24004.57	24561.228	25126.029	25698.862	26279.589	26868.153	27464.353	28067.809	28678.025	29294.6	29917.294	30546.007	31180.656	31821.206	32467.609	33119.764	33777.487	34440.567	35108.747	35781.832	36459.646	37142.193	37829.566	38521.986	39219.573	39922.286	40629.978	41342.487	42059.607	42781.182	43507.033	44237.021	44971.075	45709.083	46450.922	47196.43	47945.336	48697.271	49451.825	50208.606	50967.384	51727.965	52489.989	53253.054	54016.85	54781.178	55545.904	56310.972	57076.382	57842.093	58608.111	59374.374	60140.851	60907.477	61674.196
61	Burkina Faso	18110.624	18665.755	19239.987	19832.394	20442.33	21069.415	21713.584	22375.081	23054.342	23751.995	24468.532	25204.072	25958.107	26729.422	27516.341	28317.642	29132.837	29962.079	30805.65	31664.066	32537.725	33426.56	34330.373	35249.236	36183.245	37132.447	38096.854	39076.411	40070.986	41080.415	42104.561	43143.227	44196.338	45264.034	46346.524	47443.861	48555.975	49682.485	50822.74	51975.899	53141.27	54318.48	55507.359	56707.596	57919.007	59141.35	60374.301	61617.569	62870.993	64134.417	65407.683	66690.533	67982.644	69283.757	70593.562	71911.75	73238.02	74572.034	75913.492	77262.072	78617.419	79979.148	81346.842	82720.151	84098.743	85482.212	86870.228	88262.279	89657.543	91055.073	92454.079	93854.035	95254.668	96655.823	98057.422	99459.372	100861.412	102263.218	103664.391	105064.548	106463.359	107860.602	109256.154	110649.955	112042.074	113432.675
62	Cabo Verde	532.913	540.436	548.315	556.467	564.848	573.407	582.113	590.951	599.895	608.954	618.103	627.339	636.625	645.908	655.138	664.258	673.258	682.13	690.885	699.542	708.124	716.614	725.02	733.351	741.62	749.829	757.985	766.099	774.175	782.215	790.242	798.256	806.249	814.215	822.139	830.016	837.826	845.581	853.265	860.879	868.401	875.845	883.197	890.445	897.58	904.596	911.48	918.241	924.88	931.38	937.764	944.007	950.127	956.126	962.014	967.792	973.482	979.06	984.567	990.007	995.409	1000.751	1006.069	1011.338	1016.602	1021.838	1027.058	1032.269	1037.48	1042.693	1047.904	1053.131	1058.36	1063.597	1068.838	1074.075	1079.318	1084.567	1089.816	1095.05	1100.306	1105.551	1110.793	1116.032	1121.253	1126.46
63	C?te d'Ivoire	23108.472	23716.124	24349.611	25007.165	25687.378	26389.177	27111.857	27855.045	28618.671	29402.907	30207.876	31033.485	31879.169	32743.817	33626.011	34524.811	35439.817	36371.479	37320.751	38289.056	39277.539	40286.479	41315.912	42366.411	43438.589	44532.922	45649.639	46788.799	47950.345	49134.092	50339.849	51567.678	52817.48	54088.668	55380.496	56692.401	58024.082	59375.579	60747.092	62139.01	63551.567	64984.721	66438.226	67911.91	69405.503	70918.794	72451.584	74003.76	75575.216	77165.88	78775.624	80404.314	82051.688	83717.287	85400.554	87101.039	88818.385	90552.482	92303.412	94071.379	95856.47	97658.533	99477.202	101311.969	103162.191	105027.351	106906.922	108800.704	110708.758	112631.294	114568.308	116519.601	118484.468	120461.754	122449.984	124447.994	126455.051	128470.876	130495.398	132528.605	134570.385	136620.45	138678.292	140743.206	142814.252	144890.303
64	Gambia	1977.59	2040.703	2105.8	2172.762	2241.463	2311.842	2383.835	2457.447	2532.647	2609.476	2687.932	2767.995	2849.58	2932.543	3016.694	3101.892	3188.061	3275.181	3363.251	3452.314	3542.38	3633.417	3725.367	3818.21	3911.902	4006.41	4101.703	4197.76	4294.538	4392.006	4490.13	4588.872	4688.217	4788.134	4888.644	4989.718	5091.331	5193.446	5296.021	5399.031	5502.426	5606.172	5710.228	5814.538	5919.032	6023.66	6128.366	6233.117	6337.867	6442.584	6547.222	6651.749	6756.12	6860.283	6964.194	7067.808	7171.088	7273.993	7376.51	7478.593	7580.239	7681.41	7782.089	7882.236	7981.823	8080.829	8179.222	8276.984	8374.125	8470.644	8566.549	8661.826	8756.455	8850.375	8943.525	9035.844	9127.322	9217.952	9307.754	9396.745	9484.931	9572.332	9658.943	9744.759	9829.763	9913.911
65	Ghana	27582.821	28239.977	28911.824	29596.926	30294.183	31002.811	31722.357	32452.692	33193.963	33946.511	34710.615	35486.227	36272.754	37068.943	37873.187	38684.305	39501.834	40326.048	41157.471	41996.967	42845.248	43702.331	44568.14	45443.17	46328.001	47223.057	48128.419	49043.945	49969.422	50904.512	51848.874	52802.315	53764.577	54735.118	55713.269	56698.465	57690.336	58688.555	59692.619	60701.953	61716.1	62734.725	63757.589	64784.443	65815.096	66849.38	67887.106	68928.099	69972.413	71020.128	72071.291	73125.813	74183.59	75244.622	76308.96	77376.588	78447.396	79521.244	80597.997	81677.552	82759.718	83844.261	84930.897	86019.437	87109.636	88201.234	89294.035	90387.591	91481.008	92573.192	93663.283	94750.815	95835.717	96917.927	97997.579	99074.744	100149.369	101221.269	102290.268	103356.164	104418.872	105478.432	106534.975	107588.798	108640.295	109690.001
66	Guinea	12091.533	12418.13	12759.583	13114.822	13482.943	13863.228	14255.118	14658.234	15072.35	15497.353	15933.118	16379.406	16835.733	17301.348	17775.353	18257.084	18746.165	19242.627	19746.729	20258.925	20779.559	21308.632	21846.042	22391.917	22946.414	23509.644	24081.611	24662.3	25251.716	25849.846	26456.651	27072.082	27696.011	28328.239	28968.481	29616.494	30272.099	30935.125	31605.411	32282.803	32967.101	33658.13	34355.634	35059.274	35768.631	36483.342	37203.18	37927.966	38657.537	39391.739	40130.436	40873.443	41620.585	42371.746	43126.785	43885.579	44647.957	45413.8	46183.07	46955.786	47731.903	48511.326	49293.826	50079.18	50867.073	51657.252	52449.486	53243.64	54039.545	54837.102	55636.114	56436.468	57237.903	58040.075	58842.557	59645.002	60447.201	61249.021	62050.429	62851.386	63651.865	64451.783	65251.035	66049.462	66846.899	67643.089
67	Guinea-Bissau	1770.526	1817.647	1866.02	1915.53	1966.086	2017.62	2070.087	2123.466	2177.738	2232.923	2289.019	2346.014	2403.893	2462.59	2522.023	2582.147	2642.941	2704.43	2766.703	2829.857	2893.979	2959.101	3025.212	3092.318	3160.457	3229.634	3299.836	3371.077	3443.338	3516.578	3590.786	3665.932	3742	3818.911	3896.619	3975.059	4054.185	4133.979	4214.378	4295.333	4376.797	4458.723	4541.114	4623.952	4707.242	4790.981	4875.16	4959.765	5044.81	5130.268	5216.168	5302.477	5389.207	5476.374	5564.037	5652.199	5740.889	5830.049	5919.661	6009.643	6099.962	6190.558	6281.444	6372.591	6463.982	6555.591	6647.412	6739.391	6831.469	6923.556	7015.601	7107.566	7199.437	7291.186	7382.838	7474.371	7565.766	7657.023	7748.129	7839.067	7929.831	8020.428	8110.857	8201.137	8291.302	8381.376
68	Liberia	4499.621	4620.309	4745.652	4875.32	5009.047	5146.673	5288.114	5433.347	5582.43	5735.465	5892.533	6053.625	6218.578	6387.072	6558.668	6733.062	6910.107	7089.848	7272.385	7457.896	7646.509	7838.247	8033.055	8230.963	8432	8636.203	8843.586	9054.155	9267.907	9484.845	9704.97	9928.256	10154.704	10384.307	10617.094	10853.041	11092.143	11334.342	11579.519	11827.556	12078.359	12331.828	12587.953	12846.638	13107.86	13371.557	13637.676	13906.139	14176.869	14449.753	14724.735	15001.721	15280.68	15561.57	15844.366	16129.045	16415.533	16703.771	16993.732	17285.375	17578.66	17873.533	18169.918	18467.709	18766.794	19067.064	19368.437	19670.842	19974.207	20278.479	20583.589	20889.467	21196.036	21503.155	21810.683	22118.501	22426.52	22734.701	23043.049	23351.537	23660.161	23968.916	24277.755	24586.652	24895.544	25204.373
69	Mali	17467.905	18020.683	18594.442	19188.594	19802.771	20436.85	21090.987	21765.556	22461.141	23178.441	23918.01	24680.011	25463.949	26268.613	27092.335	27933.814	28792.486	29668.383	30561.486	31472.014	32400.037	33345.316	34307.46	35286.144	36281.02	37291.788	38318.231	39360.121	40417.181	41489.119	42575.684	43676.551	44791.558	45920.738	47064.265	48222.161	49394.273	50580.226	51779.446	52991.246	54215.018	55450.348	56696.993	57954.809	59223.726	60503.588	61794.016	63094.533	64404.643	65723.788	67051.426	68387.112	69730.379	71080.552	72436.946	73798.899	75165.838	76537.313	77912.957	79292.482	80675.534	82061.662	83450.287	84840.743	86232.251	87624.147	89015.956	90407.252	91797.535	93186.32	94573.154	95957.592	97339.299	98718.124	100093.981	101466.74	102836.141	104201.85	105563.451	106920.537	108272.737	109619.729	110961.288	112297.222	113627.416	114951.824
70	Mauritania	4182.341	4304.446	4429.67	4557.76	4688.521	4821.803	4957.507	5095.58	5235.986	5378.756	5523.886	5671.345	5821.052	5972.83	6126.471	6281.837	6438.846	6597.55	6758.029	6920.453	7084.946	7251.521	7420.181	7590.976	7763.961	7939.167	8116.642	8296.372	8478.382	8662.693	8849.287	9038.166	9229.309	9422.671	9618.186	9815.781	10015.436	10217.104	10420.718	10626.245	10833.604	11042.77	11253.681	11466.259	11680.428	11896.118	12113.27	12331.85	12551.834	12773.18	12995.857	13219.846	13445.11	13671.65	13899.471	14128.584	14358.952	14590.561	14823.426	15057.557	15292.965	15529.604	15767.441	16006.464	16246.682	16488.058	16730.584	16974.158	17218.578	17463.602	17709.023	17954.733	18200.687	18446.887	18693.369	18940.12	19187.108	19434.246	19681.422	19928.524	20175.476	20422.189	20668.627	20914.78	21160.656	21406.307
71	Niger	19896.965	20689.729	21521.01	22390.41	23297.84	24243.561	25228.206	26252.702	27318.276	28426.341	29578.217	30774.83	32016.456	33302.653	34632.466	36005.471	37421.964	38883.05	40390.156	41945.116	43549.47	45204.001	46909.232	48666.158	50475.796	52339.011	54256.426	56228.506	58255.6	60337.953	62475.743	64669.171	66918.382	69223.445	71584.381	74001.091	76473.48	79001.282	81584.014	84221.085	86911.909	89655.963	92452.806	95301.914	98202.787	101154.828	104157.605	107210.37	110311.855	113460.502	116655.094	119894.458	123178.235	126506.905	129881.489	133302.359	136769.26	140280.771	143834.692	147428.197	151059.004	154725.724	158427.888	162165.204	165937.763	169745.335	173587.038	177461.58	181367.784	185304.325	189269.925	193263.52	197284.04	201330.19	205400.616	209494.022	213609.21	217745.034	221900.408	226074.263	230265.487	234472.957	238695.472	242931.838	247180.77	251440.978
72	Nigeria	181181.744	186178.003	191334.735	196645.875	202107.616	207718.443	213479.206	219393.06	225464.996	231701.231	238107.101	244684.979	251432.355	258341.025	265399.385	272599.168	279937.566	287417.38	295042.872	302820.75	310756.063	318849.408	327099.48	335507.221	344073.378	352798.278	361682.12	370724.232	379922.829	389275.443	398779.893	408434.313	418237.622	428189.078	438288.263	448534.023	458925.14	469458.698	480129.729	490932.172	501861.044	512913.2	524087.356	535382.737	546799.389	558336.784	569992.388	581763.46	593649.019	605648.382	617760.046	629981.841	642309.989	654739.313	667263.614	679877.333	692576.719	705358.672	718219.037	731153.638	744158.563	757229.973	770364.544	783559.622	796812.891	810121.788	823482.589	836891.661	850346.624	863845.388	877385.156	890962.862	904573.863	918211.999	931870.089	945541.82	959222.336	972907.986	986595.893	1000283.291	1013967.071	1027643.529	1041308.297	1054956.313	1068581.828	1082178.408
73	Saint Helena	4.034	4.054	4.078	4.104	4.127	4.161	4.193	4.223	4.255	4.292	4.32	4.354	4.384	4.423	4.453	4.481	4.504	4.525	4.54	4.56	4.574	4.582	4.595	4.599	4.605	4.61	4.608	4.612	4.619	4.619	4.623	4.63	4.628	4.638	4.642	4.65	4.659	4.673	4.692	4.697	4.712	4.725	4.739	4.758	4.777	4.792	4.81	4.825	4.849	4.865	4.879	4.898	4.913	4.928	4.944	4.954	4.973	4.986	5.001	5.013	5.028	5.044	5.061	5.076	5.093	5.108	5.126	5.143	5.159	5.175	5.192	5.206	5.225	5.242	5.26	5.278	5.297	5.312	5.333	5.349	5.366	5.385	5.405	5.421	5.446	5.466
74	Senegal	14976.994	15427.753	15890.345	16364.196	16848.901	17344.209	17850.08	18366.652	18894.196	19433.093	19983.681	20546.094	21120.173	21705.347	22300.818	22906.085	23520.945	24145.67	24780.75	25426.881	26084.622	26754.071	27435.172	28128.065	28832.873	29549.669	30278.484	31019.259	31771.848	32536.061	33311.682	34098.586	34896.652	35705.597	36525.097	37354.876	38194.753	39044.559	39904.043	40772.918	41650.968	42538.022	43433.965	44338.708	45252.166	46174.294	47104.968	48044.124	48991.806	49948.113	50913.087	51886.695	52868.83	53859.389	54858.248	55865.296	56880.396	57903.449	58934.415	59973.247	61019.867	62074.081	63135.644	64204.367	65280.052	66362.419	67451.28	68546.268	69646.779	70752.06	71861.506	72974.713	74091.456	75211.533	76334.852	77461.251	78590.496	79722.266	80856.211	81991.969	83129.241	84267.755	85407.325	86547.81	87689.126	88831.274
75	Sierra Leone	7237.025	7405.726	7578.383	7754.479	7933.616	8115.554	8300.193	8487.556	8677.802	8871.155	9067.794	9267.725	9470.662	9675.989	9882.892	10090.756	10299.313	10508.62	10718.79	10930.082	11142.649	11356.472	11571.42	11787.504	12004.719	12223.066	12442.499	12663.001	12884.551	13107.117	13330.664	13555.128	13780.409	14006.481	14233.283	14460.714	14688.732	14917.172	15145.8	15374.303	15602.425	15830.026	16057.022	16283.338	16508.905	16733.655	16957.527	17180.394	17402.218	17622.931	17842.481	18060.806	18277.847	18493.607	18708.095	18921.31	19133.241	19343.821	19552.97	19760.591	19966.599	20170.954	20373.657	20574.707	20774.148	20971.998	21168.252	21362.876	21555.849	21747.159	21936.781	22124.721	22310.958	22495.436	22678.083	22858.853	23037.74	23214.755	23389.93	23563.318	23734.954	23904.879	24073.106	24239.671	24404.579	24567.824
76	Togo	7416.802	7614.702	7817.794	8025.731	8238.264	8455.272	8676.766	8902.86	9133.779	9369.793	9611.125	9857.844	10109.756	10366.349	10626.924	10890.982	11158.315	11428.998	11703.111	11980.85	12262.357	12547.578	12836.46	13129.043	13425.426	13725.652	14029.739	14337.643	14649.299	14964.593	15283.444	15605.784	15931.595	16260.91	16593.812	16930.282	17270.345	17613.878	17960.669	18310.454	18663.026	19018.27	19376.168	19736.713	20099.976	20465.966	20834.628	21205.881	21579.604	21955.703	22334.067	22714.622	23097.286	23482	23868.677	24257.243	24647.603	25039.656	25433.321	25828.511	26225.119	26623.044	27022.146	27422.309	27823.39	28225.256	28627.792	29030.871	29434.221	29837.544	30240.603	30643.223	31045.362	31447.015	31848.244	32249.081	32649.474	33049.336	33448.534	33846.957	34244.5	34641.101	35036.745	35431.451	35825.287	36218.361
77	ASIA	4419897.601	4468133.967	4517156.425	4566627.613	4616268.558	4665858.252	4715236.495	4764301.367	4813001.424	4861323.403	4909254.313	4956741.285	5003656.304	5049781.132	5094850.102	5138675.798	5181180.292	5222412.425	5262478.21	5301550.523	5339777.282	5377193.347	5413824.536	5449806.188	5485298.63	5520432.167	5555272.026	5589848.889	5624211.824	5658398.619	5692435.703	5726351.77	5760153.761	5793812.802	5827280.304	5860512.8	5893507.93	5926254.72	5958689.8	5990733.868	6022328.552	6053458.369	6084132.861	6114352.656	6144127.784	6173474.889	6202406.543	6230948.837	6259153.471	6287085.576	6314806.555	6342352.144	6369761.766	6397106.873	6424468.158	6451914.523	6479490.313	6507225.972	6535158.049	6563318.3	6591734.402	6620430.882	6649428.003	6678740.134	6708376.989	6738344.689	6768649.686	6799292.169	6830261.752	6861542.086	6893116.726	6924978.735	6957117.457	6989507.221	7022116.723	7054919.334	7087896.446	7121036.18	7154330.847	7187773.373	7221354.5	7255061.778	7288878.796	7322785.396	7356757.159	7390766.198
78	Eastern Asia	1635150.365	1644101.685	1652918.206	1661520.161	1669843.333	1677839.191	1685475.384	1692735.259	1699615.669	1706123.871	1712267.256	1718042.942	1723428.265	1728376.845	1732829.934	1736749.677	1740126.371	1742984.905	1745367.512	1747335.024	1748940.498	1750205.183	1751146.139	1751809.022	1752245.268	1752498.633	1752596.633	1752557.948	1752405.309	1752158.331	1751833.568	1751449.013	1751016.239	1750535.772	1750002.311	1749412.862	1748776.048	1748100.103	1747380.921	1746611.178	1745788.268	1744918.085	1744012.655	1743083.659	1742145.424	1741213.008	1740297.675	1739413.802	1738584.402	1737836.036	1737192.45	1736669.794	1736281.599	1736045.875	1735980.47	1736101.575	1736423.338	1736957.509	1737714.31	1738702.489	1739930.394	1741405.381	1743135.73	1745131.126	1747401.424	1749953.914	1752790.628	1755911.347	1759317.213	1763008.275	1766981.902	1771232.689	1775751.827	1780527.671	1785545.815	1790790.84	1796246.767	1801896.819	1807723.13	1813706.046	1819823.825	1826052.372	1832365.142	1838733.194	1845125.119	1851507.164
79	China	1397028.553	1405430.841	1413681.516	1421713.056	1429470.839	1436913.194	1444011.894	1450751.627	1457128.429	1463147.101	1468813.323	1474125.277	1479066.375	1483602.042	1487688.676	1491299.766	1494429.12	1497100.275	1499355.481	1501253.781	1502845.819	1504151.561	1505185.459	1505986.972	1506599.666	1507059.683	1507390.412	1507605.3	1507716.715	1507732.251	1507658.468	1507508.551	1507291.028	1507000.791	1506627.227	1506163.689	1505616.025	1504992.896	1504294.092	1503518.57	1502669.094	1501752.75	1500782.616	1499775.795	1498753.081	1497734.607	1496733.418	1495764.333	1494851.913	1494023.831	1493304.128	1492708.432	1492248.656	1491939.948	1491796.459	1491830.368	1492053.806	1492474.906	1493095.97	1493916.08	1494935.788	1496158.359	1497590.359	1499239.06	1501112.788	1503217.482	1505554.068	1508121.099	1510918.539	1513945.383	1517198.893	1520673.855	1524363.496	1528260.499	1532356.208	1536640.213	1541100.13	1545721.644	1550488.707	1555383.643	1560387.334	1565479.257	1570637.517	1575838.847	1581058.627	1586270.852
80	China, Hong Kong SAR	7245.701	7324.544	7402.851	7479.415	7553.482	7624.792	7693.552	7760.445	7826.53	7893.109	7961.275	8031.483	8103.12	8174.352	8242.607	8305.996	8363.977	8417.03	8465.578	8510.403	8552.172	8591.017	8626.942	8660.433	8692.062	8722.346	8751.597	8780.093	8808.323	8836.793	8865.924	8895.977	8927.141	8959.69	8993.876	9029.895	9067.834	9107.661	9149.276	9192.477	9237.062	9282.944	9329.987	9377.731	9425.68	9473.359	9520.622	9567.358	9613.319	9658.261	9702.006	9744.489	9785.76	9825.885	9865.02	9903.313	9940.877	9977.908	10014.818	10052.12	10090.265	10129.487	10169.984	10212.111	10256.244	10302.701	10351.628	10403.147	10457.454	10514.739	10575.099	10638.594	10705.126	10774.445	10846.204	10920.087	10995.854	11073.326	11152.361	11232.779	11314.361	11396.805	11479.722	11562.639	11645.008	11726.199
81	China, Macao SAR	600.942	611.892	623.278	634.982	646.902	658.946	671.051	683.143	695.194	707.182	719.053	730.801	742.362	753.691	764.725	775.424	785.747	795.729	805.396	814.8	823.996	832.998	841.813	850.505	859.117	867.716	876.311	884.926	893.596	902.359	911.245	920.266	929.43	938.717	948.083	957.512	967.003	976.54	986.108	995.689	1005.279	1014.845	1024.389	1033.891	1043.319	1052.67	1061.922	1071.081	1080.153	1089.128	1098.033	1106.845	1115.6	1124.29	1132.923	1141.531	1150.113	1158.675	1167.258	1175.878	1184.561	1193.321	1202.181	1211.127	1220.162	1229.269	1238.473	1247.789	1257.23	1266.826	1276.613	1286.579	1296.747	1307.118	1317.721	1328.57	1339.664	1350.998	1362.554	1374.301	1386.221	1398.295	1410.495	1422.8	1435.178	1447.631
82	China, Taiwan Province of China	23485.755	23590.671	23699.128	23809.91	23921.966	24034.439	24146.631	24258.07	24368.387	24477.352	24584.649	24689.739	24791.726	24889.257	24980.735	25064.821	25140.966	25208.781	25267.326	25315.665	25353.164	25379.651	25395.347	25400.578	25395.882	25381.928	25359.083	25328.134	25290.849	25249.403	25205.658	25160.48	25114.479	25068.894	25024.985	24983.738	24945.783	24911.388	24880.615	24853.309	24829.247	24808.485	24790.899	24775.814	24762.301	24749.583	24737.37	24725.423	24713.019	24699.304	24683.652	24665.904	24646.042	24623.944	24599.509	24572.832	24544.084	24513.726	24482.529	24451.539	24421.724	24393.568	24367.693	24345.42	24328.291	24317.552	24313.798	24317.302	24328.577	24348.038	24375.925	24412.457	24457.54	24510.671	24571.085	24638.046	24711.095	24789.844	24874.005	24963.233	25057.009	25154.674	25255.336	25357.924	25461.129	25563.492
83	Dem. People's Republic of Korea	25243.917	25395.96	25556.906	25724.182	25895.664	26069.709	26245.169	26421.365	26598.008	26775.115	26952.621	27130.055	27306.201	27478.933	27645.656	27804.412	27954.444	28095.897	28228.893	28353.98	28471.701	28582.186	28685.732	28783.329	28876.259	28965.689	29052.168	29136.319	29219.512	29303.349	29389.098	29477.38	29568.432	29662.554	29759.865	29860.402	29964.363	30071.683	30181.796	30293.896	30407.289	30521.802	30637.267	30753.044	30868.351	30982.626	31095.643	31207.444	31318.064	31427.682	31536.496	31644.604	31752.193	31859.757	31967.916	32077.228	32187.953	32300.367	32415.125	32532.974	32654.497	32779.941	32909.384	33042.915	33180.58	33322.327	33468.17	33617.958	33771.307	33927.691	34086.646	34247.935	34411.324	34576.254	34742.096	34908.332	35074.616	35240.762	35406.706	35572.393	35737.774	35902.743	36067.151	36230.778	36393.367	36554.604
84	Japan	127974.958	127867.63	127755.791	127636.062	127505.823	127363.258	127207.351	127037.873	126855.274	126660.498	126454.434	126237.389	126008.534	125765.73	125506.125	125227.917	124931.113	124617.248	124288.093	123946.171	123593.941	123233.009	122865.117	122493.174	122120.531	121750.36	121384.5	121025.202	120676.477	120342.851	120027.934	119733.18	119459.199	119207.468	118979.22	118774.89	118594.993	118438.263	118300.954	118177.924	118064.911	117960.655	117864.379	117772.909	117682.721	117591.261	117497.495	117401.692	117304.595	117207.695	117112.566	117020.091	116931.504	116849.5	116777.31	116718.003	116672.873	116643.807	116635.286	116652.572	116699.604	116778.473	116889.167	117030.832	117201.483	117399.553	117624.699	117877.088	118155.974	118460.501	118789.664	119142.619	119518.127	119914.283	120328.803	120759.695	121205.382	121664.668	122136.571	122620.144	123114.283	123617.676	124128.77	124645.772	125166.634	125689.075
