,1000 bbl/d,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Estonia,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ethiopia,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Falkland Islands (Islas Malvinas),SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Faroe Islands,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fiji,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Finland,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Former Czechoslovakia,EUR,2.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000,3.000,3.000,2.300,2.700,2.200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former Serbia and Montenegro,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.000,23.000,24.000,22.000,22.000,20.000,18.000,18.000,16.000,15.000,14.000,13.500,13.000,12.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former U.S.S.R.,FSU,11706.000,11850.000,11912.000,11972.000,11861.000,11585.000,11895.000,12050.000,12053.000,11715.000,10975.000,9992.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former Yugoslavia,EUR,86.000,86.000,87.000,83.000,80.000,86.000,84.000,79.000,75.000,70.000,64.000,60.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,EUR,26.000,34.000,34.000,35.000,35.000,50.000,60.000,65.000,67.000,65.000,61.000,59.000,58.000,55.000,56.000,50.000,43.000,36.000,34.000,30.000,29.000,27.915,26.918,24.077,23.331,21.337,21.499,19.836,19.500,18.151,18.085,17.830,16.251,16.003,15.337,16.671,16.418,15.167
French Guiana,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
French Polynesia,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Gabon,AFR,175.000,151.000,156.000,157.000,157.000,172.000,166.000,155.000,159.000,208.000,270.000,294.000,298.000,313.000,329.000,365.000,368.000,370.000,352.000,331.000,315.000,270.000,251.200,241.416,239.052,266.317,237.220,244.221,248.137,242.129,245.877,241.353,230.000,220.000,220.000,213.329,210.820,198.849
Gambia_ The,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Georgia,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.900,2.000,1.800,1.000,1.200,2.700,2.200,2.200,2.000,2.000,1.480,2.800,2.000,2.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.799,0.400,0.400
Germany,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.000,63.000,61.000,58.000,59.000,60.000,56.000,59.000,55.000,63.818,64.863,68.863,72.299,67.901,66.926,67.553,66.318,60.000,55.000,49.000,51.000,51.000,51.564,48.088,48.063,46.587,43.255
Germany (Offshore),EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany_ East,EUR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.800,0.900,0.800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany_ West,EUR,92.000,89.000,84.000,81.000,79.000,81.000,80.000,74.000,78.000,75.000,71.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,AFR,2.000,2.000,2.000,2.000,2.000,1.000,0.300,0.000,0.000,0.000,0.000,0.000,1.100,1.600,1.400,4.000,6.000,5.000,5.000,6.000,7.000,7.000,7.000,7.000,7.000,6.000,6.000,6.000,6.000,6.000,7.189,76.512,78.355,97.912,105.019,102.356,98.361,150.978
