#
# The copyright to the intellectual property of this file is held by www.climatedata.info
# Title,"Temperature, CO2 and Milankovitch cycles - Vostok"
# Source: http://www.ncdc.noaa.gov/paleo/indexice.html
# Source: http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/
#
BP,Temp
-353400,-7.71
-353300,-7.71
-353200,-7.718
-353100,-7.728
-353000,-7.739
-352900,-7.75
-352800,-7.76
-352700,-7.768
-352600,-7.744
-352500,-7.721
-352400,-7.698
-352300,-7.675
-352200,-7.652
-352100,-7.634
-352000,-7.621
-351900,-7.608
-351800,-7.596
-351700,-7.583
-351600,-7.571
-351500,-7.582
-351400,-7.595
-351300,-7.608
-351200,-7.62
-351100,-7.633
-351000,-7.64
-350900,-7.64
-350800,-7.64
-350700,-7.64
-350600,-7.64
-350500,-7.64
-350400,-7.635
-350300,-7.629
-350200,-7.624
-350100,-7.618
-350000,-7.613
-349900,-7.586
-349800,-7.532
-349700,-7.479
-349600,-7.425
-349500,-7.371
-349400,-7.318
-349300,-7.261
-349200,-7.204
-349100,-7.147
-349000,-7.09
-348900,-7.033
-348800,-7.024
-348700,-7.03
-348600,-7.036
-348500,-7.042
-348400,-7.048
-348300,-7.036
-348200,-7.01
-348100,-6.985
-348000,-6.96
-347900,-6.935
-347800,-6.913
-347700,-6.895
-347600,-6.878
-347500,-6.86
-347400,-6.842
-347300,-6.831
-347200,-6.833
-347100,-6.835
-347000,-6.837
-346900,-6.838
-346800,-6.836
-346700,-6.82
-346600,-6.805
-346500,-6.789
-346400,-6.773
-346300,-6.756
-346200,-6.734
-346100,-6.712
-346000,-6.69
-345900,-6.667
-345800,-6.647
-345700,-6.633
-345600,-6.619
-345500,-6.605
-345400,-6.59
-345300,-6.572
-345200,-6.541
-345100,-6.51
-345000,-6.479
-344900,-6.449
-344800,-6.463
-344700,-6.546
-344600,-6.63
-344500,-6.713
-344400,-6.797
-344300,-6.832
-344200,-6.816
-344100,-6.8
-344000,-6.784
-343900,-6.768
-343800,-6.747
-343700,-6.722
-343600,-6.698
-343500,-6.673
-343400,-6.649
-343300,-6.633
-343200,-6.623
-343100,-6.613
