Баранопедемия по состоянию на 2021_05_23

В Специальной Олимпиаде не участвуют:
Страна                                            	 Население(тыс)	Территория(км2)
  118	Nepal                                             	      30260.244	         505643	           6153	         203.34         45.40%
  119	Reunion                                           	        896.536	          23566	            176	         196.31         45.79%
  120	Qatar                                             	       2791.807	         215160	            543	         194.50         45.80%
  121	Philippines                                       	     109703.396	        1178207	          19946	         181.82         45.84%
  122	Indonesia                                         	     272222.987	        1769940	          49205	         180.75         47.25%
  123	United Arab Emirates                              	       9813.170	         554516	           1648	         167.94         50.74%
  124	Comoros                                           	        869.601	           3940	            146	         167.89         50.87%
  125	Finland                                           	       5580.127	          91157	            932	         167.02         50.88%
  126	Sao Tome and Principe                             	        218.011	           2334	             36	         165.13         50.95%
  127	Barbados                                          	        287.568	           3985	             47	         163.44         50.95%
  128	Djibouti                                          	        999.899	          11491	            152	         152.02         50.96%
  129	Norway                                            	       5449.693	         120754	            781	         143.31         50.97%
  130	Egypt                                             	     102941.484	         252690	          14670	         142.51         51.04%
  131	Lesotho                                           	       2322.217	          10806	            320	         137.80         52.36%
  132	Saint Vincent and the Grenadines                  	        110.757	           1973	             12	         108.35         52.39%
  133	Saint Barthelemy                                  	          9.793	           1016	              1	         102.11         52.39%
  134	Pakistan                                          	     208362.334	         897468	          20177	          96.84         52.39%
  135	Japan                                             	     126495.647	         714274	          12236	          96.73         55.07%
  136	Mauritania                                        	       4783.767	          19114	            458	          95.74         56.69%
  137	Syrian Arab Republic                              	      18924.442	          24052	           1729	          91.36         56.75%
  138	Zimbabwe                                          	      17680.465	          38679	           1586	          89.70         56.99%
  139	Iceland                                           	        343.228	           6556	             29	          84.49         57.22%
  140	Afghanistan                                       	      34135.635	          65728	           2802	          82.08         57.22%
  141	Equatorial Guinea                                 	       1406.280	           8436	            113	          80.35         57.66%
  142	Algeria                                           	      43333.255	         126651	           3411	          78.72         57.68%
  143	Gambia                                            	       2293.493	           5978	            178	          77.61         58.24%
  144	Mongolia                                          	       3209.404	          51931	            244	          76.03         58.27%
  145	Cuba                                              	      11495.492	         131832	            863	          75.07         58.31%
  146	Venezuela (Bolivarian Republic of)                	      33172.392	         221042	           2483	          74.85         58.45%
  147	Bangladesh                                        	     169775.309	         787726	          12348	          72.73         58.88%
  148	Gabon                                             	       2151.289	          24107	            147	          68.33         61.06%
  149	Zambia                                            	      18679.273	          93106	           1267	          67.83         61.09%
  150	Malaysia                                          	      32869.323	         505115	           2199	          66.90         61.33%
  151	Senegal                                           	      17200.154	          41023	           1129	          65.64         61.75%
  152	Myanmar                                           	      54808.276	         143228	           3216	          58.68         61.97%
  153	Kenya                                             	      53491.697	         168108	           3049	          57.00         62.67%
  154	Malawi                                            	      20283.691	          34274	           1153	          56.84         63.36%
  155	Sudan                                             	      43541.203	          34889	           2446	          56.18         63.62%
  156	Sri Lanka                                         	      21084.042	         161242	           1178	          55.87         64.18%
  157	Somalia                                           	      16105.174	          14623	            767	          47.62         64.45%
  158	Cameroon                                          	      25958.184	          76756	           1230	          47.38         64.65%
  159	Yemen                                             	      30245.305	           6653	           1305	          43.15         64.99%
  160	Republic of Korea                                 	      51506.975	         135929	           1931	          37.49         65.38%
  161	Northern Mariana Islands (Commonwealth of the)    	         55.347	            181	              2	          36.14         66.04%
  162	Ethiopia                                          	     112759.070	         268901	           4068	          36.08         66.04%
  163	Australia                                         	      25398.177	          30004	            910	          35.83         67.48%
  164	Guinea-Bissau                                     	       2000.694	           3749	             68	          33.99         67.81%
  165	Cayman Islands                                    	         63.890	            574	              2	          31.30         67.84%
  166	British Virgin Islands                            	         32.634	            248	              1	          30.64         67.84%
  167	Nicaragua                                         	       6416.568	           5731	            185	          28.83         67.84%
  168	Madagascar                                        	      27690.798	          40780	            793	          28.64         67.92%
  169	Rwanda                                            	      13087.173	          26424	            348	          26.59         68.27%
