Index	Region, subregion, country or area *	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
122	Iraq	5719.192	5901.505	6065.01	6216.131	6360.439	6502.657	6646.643	6795.397	6951.161	7115.511	7289.761	7475.352	7674.223	7888.914	8122.199	8375.793	8651.164	8947.404	9260.682	9585.576	9917.983	10255.903	10599.845	10951.166	11312.305	11684.589	12068.168	12460.914	12859.094	13257.799	13653.356	14046.54	14438.309	14825.789	15205.501	15576.395	15936.375	16290.149	16651.807	17040.19	17469.005	17942.715	18458.187	19011.917	19597.239	20208.387	20845.893	21509.291	22190.25	22878.156	23565.413	24251.649	24939.299	25627.626	26316.609	27008.426	27697.912	28390.433	29111.417	29894.652	30762.701	31727.053	32776.571	33883.145	35006.08	36115.649
123	Israel	1257.971	1354.097	1451.49	1546.238	1635.781	1718.958	1796.01	1868.581	1939.451	2012.15	2089.889	2174.267	2264.309	2355.932	2443.298	2522.53	2591.594	2652.697	2711.3	2775.162	2849.622	2936.668	3033.922	3137.033	3239.563	3336.76	3427.664	3513.529	3594.488	3671.282	3744.667	3815.232	3883.467	3950.123	4016.13	4082.787	4148.946	4216.179	4291.576	4384.355	4500.475	4643.198	4808.858	4987.73	5166.072	5333.719	5488.077	5631.544	5765.21	5891.77	6013.741	6129.53	6239.285	6349.519	6468.827	6602.97	6755.211	6922.685	7097.41	7267.895	7425.959	7568.774	7699.105	7821.105	7941.329	8064.547
124	Jordan	481.321	536.446	576.367	610.079	644.196	682.952	728.04	778.771	832.428	884.864	932.257	973.083	1009.733	1049.302	1101.459	1172.55	1265.806	1377.465	1498.309	1615.277	1718.913	1806.605	1881.214	1945.626	2004.833	2062.918	2120.069	2176.135	2234.594	2299.655	2374.422	2461.193	2559.718	2667.47	2780.428	2895.985	3011.3	3127.917	3252.672	3395.023	3560.582	3753.433	3968.198	4189.431	4395.953	4572.904	4716.373	4832.267	4927.912	5014.899	5103.13	5193.482	5287.488	5396.774	5535.595	5714.111	5934.232	6193.191	6489.822	6821.116	7182.39	7574.943	7992.573	8413.464	8809.306	9159.302
125	Kuwait	153.096	157.932	162.696	167.896	174.091	181.888	191.975	205.065	221.911	243.235	269.618	301.336	338.296	379.891	425.235	473.554	524.856	579.007	634.897	691.129	746.767	801.142	854.604	908.52	964.834	1024.94	1089.209	1157.033	1227.601	1299.683	1372.318	1442.991	1511.314	1580.638	1655.833	1738.994	1836.105	1942.81	2038.885	2096.932	2099.615	2035.661	1916.877	1777.137	1663.932	1610.651	1631.74	1715.314	1836.353	1957.066	2050.741	2109.355	2143.833	2169.118	2207.939	2276.623	2377.258	2503.41	2652.34	2818.939	2998.083	3191.051	3395.556	3598.385	3782.45	3935.794
126	Lebanon	1334.621	1358.217	1392.725	1434.849	1481.959	1532.109	1584.03	1637.127	1691.361	1747.162	1804.926	1864.605	1925.276	1984.98	2041.207	2092.348	2136.636	2174.845	2210.959	2250.602	2297.389	2353.555	2416.735	2480.419	2535.497	2575.69	2598.354	2606.221	2604.865	2602.566	2605.293	2615.747	2632.276	2651.292	2667.22	2676.583	2677.28	2672.173	2668.585	2676.605	2703.016	2752.462	2821.862	2900.854	2974.64	3033.394	3070.96	3092.67	3113.951	3156.646	3235.366	3359.859	3522.837	3701.464	3863.267	3986.852	4057.35	4086.466	4111.047	4183.156	4337.141	4588.368	4916.404	5276.102	5603.279	5851.479
127	Oman	456.419	462.251	469.35	477.44	486.312	495.816	505.892	516.471	527.598	539.328	551.74	564.89	578.824	593.501	608.887	625.009	642.003	660.119	679.597	700.725	723.852	748.973	776.383	806.991	841.948	882.044	927.439	977.808	1032.8	1091.853	1154.379	1220.587	1290.111	1361.097	1431.077	1498.417	1561.185	1619.864	1678.116	1741.16	1812.16	1893.771	1983.277	2072.111	2148.428	2204.283	2236.666	2249.773	2251.875	2254.918	2267.991	2294.787	2334.285	2385.255	2444.751	2511.269	2582.991	2662.762	2759.014	2882.942	3041.46	3237.268	3464.644	3711.481	3960.925	4199.81
128	Qatar	25.003	27.497	29.873	32.06	34.042	35.866	37.622	39.45	41.546	44.126	47.384	51.421	56.263	61.717	67.567	73.633	79.844	86.295	93.201	100.874	109.514	119.424	130.534	142.241	153.704	164.413	173.836	182.443	192.093	205.313	223.775	248.144	277.396	309.479	341.455	371.081	397.932	422.341	443.794	461.87	476.445	487.491	495.517	501.566	507.095	513.455	522.304	534.608	550.43	569.447	592.267	616.886	645.659	688.586	758.855	864.863	1010.382	1189.633	1389.342	1590.78	1779.676	1952.054	2109.568	2250.473	2374.419	2481.539
129	Saudi Arabia	3121.335	3198.551	3283.3	3372.617	3464.552	3558.155	3653.561	3751.875	3855.084	3965.815	4086.539	4218.879	4362.864	4516.659	4677.404	4843.635	5015.204	5194.846	5387.486	5599.628	5836.389	6100.994	6393.894	6714.095	7059.334	7428.703	7818.613	8231.604	8679.84	9179.621	9740.599	10366.661	11048.08	11763.837	12484.967	13189.115	13869.012	14525.66	15155.223	15755.944	16326.815	16867.829	17378.833	17859.75	18311.09	18735.841	19131.578	19505.576	19882.458	20294.406	20764.312	21303.592	21906.308	22556.425	23228.89	23905.654	24578.301	25252.569	25940.77	26661.492	27425.676	28238.02	29086.357	29944.476	30776.722	31557.144
130	State of Palestine	931.928	923.747	931.907	948.782	968.648	987.76	1004.314	1018.491	1032.097	1048.111	1069.316	1096.811	1128.708	1159.584	1182.053	1191.384	1184.687	1165.054	1141.048	1124.752	1124.649	1144.093	1180.05	1226.926	1276.127	1321.421	1361.346	1398.017	1433.1	1469.436	1509.183	1552.787	1599.645	1649.698	1702.656	1758.477	1817.036	1878.94	1945.678	2019.227	2100.883	2190.399	2286.985	2390.599	2501.078	2617.702	2741.578	2871.147	2999.862	3119.076	3223.009	3308.75	3379.049	3440.799	3504.041	3576.17	3659.363	3751.866	3852.31	3957.984	4066.829	4178.875	4294.96	4414.644	4537.425	4662.884
131	Syrian Arab Republic	3413.331	3498.526	3591.006	3690.735	3797.624	3911.501	4032.069	4158.976	4291.803	4430.101	4573.512	4721.896	4875.422	5034.646	5200.336	5373.137	5553.246	5740.71	5935.86	6139.048	6350.541	6570.857	6800.141	7037.851	7283.177	7535.714	7794.662	8060.649	8336.418	8625.69	8930.774	9252.851	9590.227	9938.847	10293.049	10648.632	11004.272	11360.852	11719.071	12080.444	12446.171	12815.219	13187.085	13564.167	13949.697	14345.492	14755.286	15177.456	15602.21	16016.092	16410.848	16766.899	17087.901	17415.266	17806.638	18294.611	18914.977	19632.806	20325.443	20824.893	21018.834	20863.993	20420.701	19809.141	19203.09	18734.987
132	Turkey	21408.401	21951.206	22508.947	23081.575	23668.906	24270.585	24886.111	25514.81	26155.911	26808.621	27472.331	28146.893	28832.805	29531.342	30244.232	30972.965	31717.477	32477.961	33256.432	34055.361	34876.267	35720.568	36587.225	37472.298	38370.241	39277.211	40189.511	41108.248	42039.935	42993.991	43975.921	44988.356	46025.357	47073.422	48114.105	49133.883	50128.489	51100.878	52053.704	52992.429	53921.699	54840.531	55748.875	56653.729	57564.132	58486.381	59423.208	60372.499	61329.59	62287.326	63240.121	64191.474	65143.054	66085.803	67007.855	67903.406	68763.405	69597.281	70440.032	71339.185	72326.914	73409.455	74569.867	75787.333	77030.628	78271.472
133	United Arab Emirates	69.588	67.32	69.063	72.63	76.46	79.578	81.682	83.068	84.559	87.362	92.634	101.078	112.472	125.566	138.529	150.362	160.481	170.283	183.194	203.82	235.499	278.808	332.76	397.174	471.364	554.324	646.943	748.117	852.262	952.04	1042.384	1120.9	1189.545	1253.06	1318.478	1391.052	1472.218	1560.718	1655.849	1756.043	1860.174	1970.026	2086.639	2207.405	2328.686	2448.82	2571.02	2700.01	2838.145	2988.162	3154.925	3326.032	3507.232	3741.932	4087.931	4579.562	5242.032	6044.067	6894.278	7666.393	8270.684	8672.475	8900.453	9006.263	9070.867	9154.302
134	Yemen	4402.32	4473.749	4545.741	4618.551	4692.418	4767.587	4844.325	4922.886	5003.533	5086.541	5172.135	5260.501	5351.799	5446.063	5543.339	5643.643	5748.588	5858.638	5971.407	6083.619	6193.81	6300.554	6407.295	6523.452	6661.566	6830.692	7034.868	7271.872	7536.764	7821.552	8120.497	8434.017	8764.621	9111.097	9472.17	9847.899	10232.733	10628.585	11051.504	11523.267	12057.039	12661.614	13325.583	14017.239	14692.686	15320.653	15889.449	16408.954	16896.21	17378.098	17874.725	18390.135	18919.179	19462.086	20017.068	20582.927	21160.534	21751.605	22356.391	22974.929	23606.779	24252.206	24909.969	25576.322	26246.327	26916.207
135	EUROPE	549375.019	554466.929	559927.981	565596.267	571350.534	577110.36	582838.184	588537.233	594245.078	600023.218	605925.437	611963.91	618079.777	624130.497	629925.547	635332.234	640285.798	644832.052	649085.051	653216.51	657350.134	661522.652	665692.145	669810.6	673799.969	677604.816	681220.531	684673.157	687975.138	691147.012	694207.337	697140.911	699949.754	702689.656	705434.113	708226.818	711091.028	713985.201	716806.509	719413.066	721698.587	723653.725	725300.091	726604.118	727533.923	728084.593	728232.51	728031.016	727650.06	727316.733	727200.939	727354.723	727754.272	728396.633	729252.505	730289.682	731530.909	732963.756	734474.49	735911.175	737163.58	738177.804	738976.542	739621.182	740210.73	740813.959
136	Eastern Europe	220170.532	223325.586	226669.385	230125.058	233627.99	237125.91	240579.278	243960.901	247254.627	250453.385	253552.98	256545.465	259413.557	262127.919	264654.402	266974.449	269072.718	270971	272734.803	274454.36	276197.291	277986.445	279812.268	281670.029	283543.555	285419.766	287300.664	289190.396	291078.71	292952.001	294797.87	296598.845	298346.612	300047.597	301713.9	303345.655	304947.176	306487.792	307889.888	309052.289	309901.947	310416.444	310613.56	310512.301	310148.65	309556.593	308748.143	307737.757	306568.509	305292.681	303957.552	302580.116	301183.921	299829.699	298588.342	297510.641	296621.738	295913.454	295359.343	294914.429	294540.681	294233.056	293987.914	293768.982	293532.237	293243.708
137	Belarus	7745.002	7717.072	7710.087	7723.232	7755.061	7803.537	7865.984	7939.122	8019.184	8102.198	8184.631	8264.142	8340.236	8414.515	8489.93	8568.454	8650.318	8734.042	8817.942	8899.691	8977.639	9051.218	9120.964	9187.675	9252.678	9316.955	9380.452	9443.001	9505.452	9568.883	9633.888	9700.245	9767.26	9834.424	9901.045	9966.154	10030.068	10091.633	10146.632	10189.615	10216.846	10226.493	10219.918	10200.51	10173.355	10142.308	10109.072	10073.061	10033.061	9986.933	9933.609	9872.961	9807.132	9740.054	9676.902	9621.543	9575.043	9536.864	9507.331	9486.239	9473.071	9468.5	9471.73	9478.902	9484.851	9485.772
138	Bulgaria	7250.999	7310.51	7371.97	7434.611	7497.873	7561.405	7625.105	7689.047	7753.528	7818.912	7885.525	7953.378	8022.06	8090.6	8157.722	8222.47	8284.335	8343.387	8399.919	8454.501	8507.476	8558.968	8608.611	8655.674	8699.139	8738.361	8772.535	8801.885	8828.014	8853.187	8878.775	8905.069	8930.671	8953.074	8968.856	8975.291	8972.469	8960.472	8936.557	8897.446	8841.371	8766.89	8676.243	8575.889	8474.669	8379.18	8291.872	8211.726	8137.564	8066.883	7997.787	7930.546	7866.086	7803.881	7743.264	7683.763	7624.959	7566.949	7510.331	7456.03	7404.59	7356.213	7310.383	7266.141	7222.145	7177.396
139	Czechia	8902.619	9007.006	9110.14	9205.963	9290.488	9361.762	9420.024	9467.547	9508.368	9547.667	9590.187	9638.411	9691.077	9742.466	9784.356	9811.407	9821.115	9817.192	9808.04	9805.458	9817.817	9847.386	9891.283	9946.376	10007.469	10070.144	10134.717	10200.921	10263.109	10314.154	10349.271	10365.718	10365.453	10354.307	10340.848	10331.37	10327.528	10327.732	10331.215	10336.17	10341.169	10346.75	10353.318	10358.972	10361.242	10358.456	10350.57	10338.593	10323.488	10306.645	10289.594	10271.204	10252.439	10239.277	10239.536	10258.176	10298.288	10356.586	10423.794	10486.845	10536.286	10568.715	10586.755	10594.481	10598.526	10603.762
140	Hungary	9337.723	9480.574	9597.897	9692.842	9768.622	9828.441	9875.554	9913.225	9944.699	9973.063	10001.017	10030.528	10062.576	10097.059	10133.076	10169.931	10208.376	10248.86	10289.943	10329.555	10366.34	10398.442	10426.426	10454.06	10486.634	10527.27	10578.457	10637.073	10693.829	10735.989	10754.766	10746.963	10716.324	10669.693	10617.232	10566.817	10519.786	10475.042	10435.047	10402.126	10377.651	10363.564	10359.143	10359.589	10358.122	10349.838	10332.989	10309.022	10280.145	10249.959	10221.051	10194.005	10167.872	10141.956	10115.081	10086.465	10055.897	10023.887	9991.201	9958.942	9927.84	9898.204	9869.684	9841.697	9813.335	9783.925
141	Poland	24824.018	25283.44	25764.925	26261.073	26764.864	27269.749	27769.541	28258.523	28731.444	29183.688	29611.556	30012.671	30386.276	30733.37	31056.315	31357.726	31637.766	31898.318	32146.054	32389.546	32635.557	32886.596	33143.187	33407.619	33681.72	33966.572	34261.866	34566.894	34881.38	35204.73	35535.108	35873.731	36216.709	36550.846	36858.895	37128.717	37354.265	37538.975	37691.897	37827.018	37954.553	38077.213	38191.777	38295.474	38383.516	38452.632	38503.607	38538.73	38558.054	38561.694	38550.495	38524.005	38484.472	38438.826	38396.066	38362.666	38341.036	38329.585	38325.689	38324.87	38323.402	38320.947	38317.404	38309.451	38293.06	38265.226
142	Republic of Moldova	2340.997	2381.44	2432.095	2491.064	2556.59	2627.009	2700.791	2776.549	2852.992	2928.985	3003.559	3075.922	3145.55	3212.094	3275.457	3335.631	3392.085	3444.85	3495.137	3544.638	3594.518	3645.518	3697.152	3747.927	3795.653	3838.91	3876.947	3910.644	3942.14	3974.506	4009.838	4048.617	4089.856	4132.446	4174.624	4214.916	4253.165	4289.1	4320.929	4346.453	4364.116	4373.578	4375.313	4369.649	4357.283	4339.082	4314.7	4284.931	4253.284	4224.273	4201.089	4185.505	4176.616	4171.646	4166.337	4157.699	4144.73	4128.649	4111.44	4096.04	4084.481	4077.368	4073.703	4071.964	4069.939	4065.98
143	Romania	16236.296	16512.664	16764.904	17005.717	17243.818	17483.935	17726.631	17968.466	18202.712	18420.454	18613.939	18780.202	18924.157	19059.938	19207.135	19379.568	19582.327	19810.585	20055.921	20305.31	20548.911	20783.748	21011.704	21233.466	21451.125	21665.643	21877.402	22083.774	22279.304	22456.945	22611.971	22739.817	22842.317	22928.925	23013.161	23103.646	23205.286	23312.071	23408.422	23472.581	23489.373	23454.213	23373.358	23255.995	23116.175	22965.111	22804.165	22632.805	22458.077	22288.057	22128.128	21984.135	21854.676	21728.919	21591.164	21431.018	21243.922	21036.111	20821.084	20617.955	20440.347	20292.967	20171.255	20068.201	19972.736	19876.621
144	Russian Federation	102798.657	104306.139	105969.201	107729.374	109537.789	111355.221	113152.375	114909.591	116615.773	118266.782	119860.288	121390.406	122842.95	124193.394	125412.625	126483.875	127395.883	128164.764	128836.021	129472.835	130123.431	130805.201	131514.099	132250.78	133008.905	133784.384	134580.091	135402.802	136255.397	137140.562	138058.71	139002.314	139964.753	140946.861	141950.629	142971.168	144011.513	145051.663	146035.578	146890.544	147564.066	148035.898	148318.025	148431.373	148411.855	148288.839	148073.924	147768.371	147381.001	146919.737	146396.514	145814.864	145194.882	144584.695	144044.607	143618.185	143322.933	143150.142	143083.187	143092.765	143153.869	143263.988	143420.597	143597.23	143761.378	143888.004
145	Slovakia	3436.573	3510.926	3587.657	3664.918	3741.211	3815.402	3886.746	3954.855	4019.639	4081.32	4140.129	4196.17	4249.205	4298.584	4343.459	4383.452	4418.205	4448.55	4476.824	4506.157	4538.841	4575.563	4615.831	4659.28	4705.11	4752.54	4801.741	4852.497	4903.202	4951.788	4996.731	5037.341	5073.89	5106.989	5137.685	5166.798	5194.306	5219.959	5244.036	5266.804	5288.454	5309.235	5329.033	5347.214	5362.896	5375.47	5384.788	5391.204	5395.254	5397.708	5399.211	5400.006	5400.154	5399.886	5399.419	5398.963	5398.541	5398.326	5398.856	5400.719	5404.294	5409.847	5417.07	5425.13	5432.841	5439.318
146	Ukraine	37297.648	37815.815	38360.509	38916.264	39471.674	40019.449	40556.527	41083.976	41606.288	42130.316	42662.149	43203.635	43749.47	44285.899	44794.327	45261.935	45682.308	46060.452	46409.002	46746.669	47086.761	47433.805	47783.011	48127.172	48455.122	48758.987	49036.456	49290.905	49526.883	49751.257	49968.812	50179.03	50379.379	50570.032	50750.925	50920.778	51078.79	51221.145	51339.575	51423.532	51464.348	51462.61	51417.432	51317.636	51149.537	50905.677	50582.456	50189.314	49748.581	49290.792	48840.074	48402.885	47979.592	47580.559	47215.966	46892.163	46616.389	46386.355	46186.43	45994.024	45792.501	45576.307	45349.333	45115.785	44883.426	44657.704
147	Northern Europe	78007.473	78227.435	78501.977	78817.113	79162.832	79533.208	79926.672	80345.691	80796.038	81285.54	81820.394	82401.031	83018.711	83654.042	84281.083	84880.104	85442.952	85970.44	86462.728	86923.287	87354.446	87755.88	88124.863	88459.533	88757.618	89018.643	89243.512	89436.288	89604.57	89758.004	89905.149	90046.91	90186.092	90334.957	90508.504	90716.513	90966.254	91253.1	91559.896	91862.088	92142.039	92395.028	92627.269	92845.36	93060.289	93280.874	93512.607	93756.133	94010.43	94272.734	94543.861	94815.556	95095.975	95420.955	95837.972	96376.906	97056.005	97854.164	98713.51	99552.864	100313.727	100974.168	101550.511	102069.505	102574.541	103097.292
148	Channel Islands	102.234	102.967	103.661	104.323	104.972	105.609	106.268	106.968	107.711	108.525	109.42	110.399	111.457	112.595	113.773	114.995	116.227	117.474	118.726	119.972	121.197	122.413	123.614	124.725	125.682	126.415	126.902	127.183	127.39	127.692	128.212	128.981	129.979	131.156	132.453	133.808	135.23	136.716	138.187	139.53	140.671	141.568	142.258	142.819	143.384	144.046	144.829	145.715	146.671	147.687	148.725	149.793	150.901	152.038	153.17	154.294	155.411	156.513	157.581	158.603	159.581	160.497	161.358	162.18	162.969	163.758
149	Denmark	4268.271	4308.921	4346.182	4380.301	4411.657	4440.778	4468.346	4495.221	4522.334	4550.682	4581.101	4614.027	4649.346	4686.279	4723.629	4760.46	4796.487	4831.752	4866.068	4899.291	4931.241	4961.762	4990.546	5017.248	5041.419	5062.729	5081.267	5097.045	5109.69	5118.707	5123.945	5125.298	5123.349	5119.607	5116.058	5114.243	5114.657	5117.277	5122.441	5130.361	5141.115	5154.908	5171.65	5190.742	5211.334	5232.704	5254.86	5277.711	5300.379	5321.774	5341.194	5358.062	5372.801	5386.968	5402.761	5421.702	5444.303	5469.957	5497.795	5526.447	5554.844	5582.873	5610.66	5637.817	5663.914	5688.695
150	Estonia	1100.995	1113.247	1125.24	1136.904	1148.213	1159.231	1170.101	1181.019	1192.253	1204.108	1216.819	1230.499	1245.076	1260.213	1275.437	1290.396	1304.987	1319.245	1333.176	1346.818	1360.202	1373.306	1386.068	1398.471	1410.467	1422.042	1433.178	1443.889	1454.273	1464.416	1474.436	1483.873	1492.641	1501.42	1511.199	1522.397	1536.033	1551.208	1564.192	1569.971	1565.242	1548.215	1520.81	1488.059	1457.093	1433.024	1417.736	1409.674	1406.35	1403.789	1399.112	1391.729	1382.732	1372.909	1363.565	1355.648	1349.297	1344.072	1339.712	1335.83	1332.102	1328.449	1324.934	1321.56	1318.359	1315.321
151	Faeroe Islands	31.503	31.538	31.672	31.881	32.159	32.496	32.882	33.295	33.743	34.192	34.661	35.115	35.57	36.014	36.454	36.9	37.334	37.768	38.2	38.646	39.083	39.537	40.009	40.486	40.955	41.407	41.848	42.275	42.693	43.101	43.514	43.917	44.307	44.7	45.122	45.573	46.077	46.621	47.117	47.466	47.594	47.457	47.101	46.64	46.25	46.04	46.058	46.251	46.58	46.937	47.258	47.526	47.769	47.974	48.143	48.285	48.383	48.448	48.485	48.517	48.55	48.608	48.666	48.747	48.842	48.965
152	Finland	4008.294	4050.492	4096.554	4144.297	4191.979	4238.275	4282.379	4323.921	4362.913	4399.674	4434.59	4467.773	4498.817	4526.746	4550.239	4568.598	4581.115	4588.656	4594.024	4601.033	4612.366	4629.38	4651.172	4675.456	4698.779	4718.749	4734.437	4746.932	4758.252	4771.345	4788.243	4809.813	4835.1	4862.178	4888.204	4911.22	4930.341	4946.373	4961.087	4977.115	4996.222	5019.125	5044.925	5071.789	5097.097	5119.005	5136.979	5151.746	5164.242	5175.926	5187.954	5200.479	5213.373	5227.103	5242.185	5258.927	5277.57	5298.014	5319.902	5342.646	5365.782	5389.242	5412.98	5436.616	5459.717	5481.966
153	Iceland	142.659	144.942	147.706	150.82	154.157	157.642	161.198	164.788	168.387	171.991	175.592	179.183	182.711	186.124	189.338	192.313	194.99	197.401	199.669	201.974	204.426	207.088	209.929	212.814	215.563	218.07	220.291	222.266	224.15	226.103	228.262	230.664	233.269	236.019	238.808	241.582	244.331	247.056	249.756	252.413	255.043	257.624	260.151	262.656	265.138	267.629	270.15	272.709	275.296	277.87	280.435	282.907	285.329	287.952	291.104	294.979	299.728	305.2	310.884	316.086	320.328	323.418	325.526	327.029	328.459	330.243
154	Ireland	2913.093	2921.109	2924.054	2921.355	2913.045	2899.784	2882.846	2864.14	2846.055	2831.252	2822.11	2820.038	2824.948	2835.019	2847.34	2859.955	2872.071	2884.783	2900.184	2921.259	2949.998	2986.783	3030.395	3079.295	3131.175	3184.126	3237.594	3291.17	3343.147	3391.58	3434.953	3472.888	3505.36	3531.776	3551.654	3564.959	3571.346	3571.76	3569.112	3567.289	3569.257	3576.375	3588.594	3605.665	3626.799	3651.545	3679.849	3712.464	3750.57	3795.699	3848.776	3909.293	3976.288	4049.547	4128.749	4212.977	4303.37	4398.073	4489.589	4568.064	4626.928	4662.579	4678.117	4681.967	4686.347	4700.107
155	Isle of Man	55.254	55.222	54.852	54.208	53.367	52.408	51.401	50.429	49.566	48.883	48.442	48.281	48.418	48.8	49.391	50.141	51.049	52.118	53.254	54.376	55.425	56.352	57.154	57.9	58.655	59.478	60.428	61.443	62.406	63.151	63.551	63.54	63.191	62.73	62.487	62.696	63.441	64.63	66.047	67.388	68.429	69.096	69.475	69.656	69.818	70.07	70.431	70.869	71.39	71.952	72.554	73.192	73.87	74.587	75.341	76.118	76.914	77.727	78.534	79.325	80.072	80.759	81.406	82.013	82.59	83.167
156	Latvia	1926.568	1933.991	1945.956	1961.655	1980.395	2001.57	2024.675	2049.315	2075.172	2102.004	2129.586	2157.66	2185.878	2213.803	2240.945	2266.941	2291.465	2314.5	2336.322	2357.395	2378.017	2398.376	2418.267	2437.177	2454.393	2469.436	2482.181	2492.978	2502.513	2511.735	2521.385	2531.013	2540.442	2550.927	2564.107	2580.751	2602.151	2626.899	2649.821	2663.924	2664.432	2649.152	2620.246	2582.65	2543.622	2508.473	2478.825	2453.302	2430.547	2408.09	2384.163	2358.677	2332.492	2305.775	2278.855	2251.983	2225.223	2198.518	2171.881	2145.309	2118.848	2092.493	2066.374	2040.784	2016.125	1992.663
157	Lithuania	2567.403	2569.611	2578.047	2591.373	2608.522	2628.745	2651.625	2676.999	2704.985	2735.866	2769.866	2806.913	2846.388	2887.074	2927.38	2966.162	3002.79	3037.44	3070.69	3103.511	3136.58	3170.071	3203.628	3236.731	3268.642	3298.873	3327.257	3354.062	3379.798	3405.176	3430.759	3456.142	3481.132	3506.539	3533.478	3562.396	3594.056	3627.328	3658.49	3682.557	3696.034	3697.453	3688.1	3670.647	3649.134	3626.602	3603.745	3579.904	3555.133	3529.178	3501.835	3473.617	3444.754	3414.352	3381.118	3344.252	3303.671	3260.091	3214.627	3168.772	3123.803	3079.881	3037.246	2997.334	2961.846	2931.926
158	Norway	3265.273	3300.752	3334.478	3367.055	3398.905	3430.34	3461.51	3492.447	3523.048	3553.129	3582.507	3611.146	3639.21	3667.113	3695.408	3724.463	3754.362	3784.868	3815.637	3846.184	3876.06	3905.269	3933.725	3960.802	3985.741	4008.031	4027.475	4044.33	4059.183	4072.868	4086.076	4098.973	4111.657	4124.585	4138.268	4153.105	4169.322	4186.968	4205.966	4226.122	4247.285	4269.471	4292.683	4316.788	4341.615	4366.995	4393.209	4420.262	4447.486	4474.004	4499.367	4523.145	4546.019	4570.106	4598.214	4632.364	4673.07	4719.648	4771.409	4827.18	4885.878	4947.595	5012.007	5077.101	5140.311	5199.836
159	Sweden	7009.912	7073.227	7127.52	7175.667	7220.064	7262.623	7304.779	7347.479	7391.248	7436.262	7482.543	7530.181	7579.566	7631.457	7686.73	7745.673	7809.086	7875.907	7942.322	8003.185	8054.916	8095.793	8127.034	8151.598	8173.968	8197.34	8223.249	8250.695	8277.414	8300.003	8316.338	8325.493	8329.425	8332.443	8340.44	8357.652	8384.989	8421.056	8464.787	8514.206	8567.384	8625.137	8686.738	8746.776	8798.234	8836.42	8859.191	8868.853	8870.848	8873.1	8881.64	8897.793	8920.694	8951.422	8990.639	9038.623	9096.264	9163.243	9236.89	9313.478	9390.168	9465.892	9540.907	9615.247	9689.376	9763.565
160	United Kingdom	50616.014	50621.416	50686.055	50797.274	50945.397	51123.707	51328.662	51559.67	51818.623	52108.972	52433.157	52789.816	53171.326	53562.805	53945.019	54303.107	54630.989	54928.528	55194.456	55429.643	55634.935	55809.75	55953.322	56066.83	56152.179	56211.947	56247.405	56262.02	56263.661	56262.127	56265.475	56276.315	56296.24	56330.877	56386.226	56466.131	56574.28	56709.208	56862.893	57023.746	57183.331	57339.447	57494.538	57650.473	57810.771	57978.321	58156.745	58346.673	58544.938	58746.728	58950.848	59149.343	59348.953	59580.222	59884.128	60286.754	60802.801	61414.66	62076.221	62722.607	63306.843	63811.882	64250.33	64641.11	65015.686	65397.08
161	Southern Europe	108737.324	109707.398	110692.721	111667.02	112613.562	113525.08	114404.187	115263.005	116121.535	117004.917	117935.639	118925.041	119965.856	121029.152	122073.21	123070.011	124005.432	124894.074	125771.246	126687.439	127677.447	128749.346	129886.208	131066.898	132259.563	133437.816	134596.189	135731.872	136823.804	137847.691	138785.43	139628.089	140376.507	141035.563	141615.437	142125.142	142566.597	142941.484	143258.882	143529.892	143764.632	143977.279	144175.105	144354.316	144506.546	144632.256	144718.877	144786.897	144908.134	145177.435	145657.35	146368.156	147273.493	148307.083	149372.845	150392.512	151358.941	152268.544	153052.154	153627.755	153943.085	153958.951	153703.438	153276.446	152820.713	152440.653
162	Albania	1263.174	1287.497	1316.089	1348.099	1382.878	1419.97	1459.089	1500.149	1543.222	1588.484	1636.056	1685.9	1737.644	1790.534	1843.593	1896.125	1947.785	1998.693	2049.151	2099.653	2150.598	2202.035	2253.844	2306.003	2358.463	2411.229	2464.336	2517.872	2571.85	2626.286	2681.239	2735.329	2788.314	2842.624	2901.592	2966.798	3041.007	3121.336	3197.067	3253.656	3281.454	3275.431	3240.587	3189.583	3140.595	3106.736	3092.228	3093.041	3103.759	3115.576	3121.97	3122.408	3119.029	3111.005	3097.747	3079.179	3054.331	3023.907	2991.651	2962.635	2940.525	2926.659	2920.039	2918.978	2920.775	2923.352
163	Andorra	6.196	6.689	7.247	7.865	8.525	9.232	9.989	10.779	11.615	12.498	13.411	14.375	15.37	16.412	17.469	18.549	19.647	20.758	21.89	23.058	24.276	25.559	26.892	28.232	29.52	30.705	31.777	32.771	33.737	34.818	36.067	37.5	39.114	40.867	42.706	44.6	46.517	48.455	50.434	52.448	54.509	56.671	58.888	60.971	62.677	63.85	64.36	64.327	64.142	64.37	65.39	67.341	70.049	73.182	76.244	78.867	80.991	82.683	83.861	84.462	84.449	83.751	82.431	80.788	79.223	78.014
