#
# GIK23258-2
# 56	GIK23258-2	Foram transfer function	±1.5 C uncertainty	75	14	-1768	40	Winter and Summer*	Sarnthein et al., 2003 (51)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
169	6.53	8619	5.02	8667.38	177.98	3.5
170	4.89	8653	3.54	8703.47	173.16	2.19
171	4.38	8687	3.1	8739.52	166.87	1.81
172	4.2	8721	2.94	8775.54	158.94	1.67
173	5.5	8755	4.04	8811.51	149.12	2.57
174	5.03	8789	3.65	8847.42	137	2.27
175	5.38	8824	3.84	8883.25	121.91	2.3
176	6.86	8858	5.29	8918.92	102.57	3.71
177	6.71	8892	5.13	8953.75	76.18	3.54
178	6.4	8917	4.84	8986.76	96.88	3.28
179	5.71	8943	4.13	9018.88	111.99	2.54
180	6.59	8968	5	9050.83	123.09	3.41
181	6.78	8993	5.22	9082.68	131.14	3.65
182	6.61	9018	5.03	9114.46	136.67	3.44
183	6.57	9044	4.96	9146.18	139.96	3.34
184	6.63	9069	5.04	9177.84	141.16	3.45
185	6.83	9094	5.27	9209.46	140.32	3.71
186	7.19	9119	5.66	9241.03	137.38	4.13
187	7.04	9145	5.51	9272.54	132.21	3.97
188	7.27	9170	5.76	9303.99	124.52	4.24
189	6.91	9195	5.35	9335.37	113.79	3.78
190	7	9220	5.45	9366.66	99.04	3.89
191	7.14	9246	5.61	9397.77	77.98	4.08
192	7.23	9271	5.73	9428	41.85	4.22
193	6.86	9291	5.3	9443.69	61.13	3.74
194	6.83	9311	5.26	9458.88	73.94	3.69
195	7	9331	5.46	9473.98	83.4	3.92
196	6.98	9351	5.43	9489.03	90.56	3.87
197	6.82	9371	5.26	9504.03	95.92	3.69
198	7.13	9391	5.53	9519	99.8	3.92
199	6.65	9411	5.07	9533.93	102.34	3.48
200	7.19	9430	5.69	9548.84	103.64	4.18
201	6.88	9450	5.34	9563.73	103.75	3.79
202	7.42	9470	5.93	9578.58	102.67	4.44
203	7.47	9490	5.99	9593.4	100.35	4.51
204	7.38	9510	5.89	9608.17	96.7	4.4
205	7.3	9530	5.8	9622.9	91.53	4.3
206	7	9550	5.48	9637.52	84.53	3.95
207	7.68	9570	6.23	9651.65	74.75	4.77
208	7.33	9582	5.83	9666.49	85.52	4.33
209	7.22	9593	5.7	9680.81	94.71	4.18
210	7.05	9605	5.49	9695.03	102.63	3.92
211	6.94	9616	5.39	9709.2	109.53	3.84
212	7.28	9628	5.78	9723.34	115.6	4.27
213	7.05	9640	5.49	9737.45	120.94	3.93
214	6.81	9651	5.23	9751.54	125.67	3.65
215	7.47	9663	5.99	9765.62	129.84	4.51
216	7.41	9675	5.91	9779.68	133.49	4.4
217	7.6	9686	6.14	9793.72	136.69	4.67
218	7.53	9698	6.07	9807.76	139.44	4.61
219	7.09	9709	5.58	9821.78	141.79	4.06
220	7.15	9721	5.65	9835.79	143.74	4.15
221	7.1	9733	5.6	9849.8	145.32	4.09
222	7.2	9744	5.7	9863.79	146.53	4.2
223	7.67	9756	6.22	9877.78	147.39	4.76
224	7.24	9768	5.74	9891.75	147.9	4.24
225	7.2	9779	5.71	9905.72	148.06	4.21
226	7.11	9791	5.61	9919.68	147.87	4.1
227	7.06	9802	5.54	9933.63	147.34	4.02
228	6.25	9814	4.65	9947.57	146.45	3.04
229	6.41	9826	4.82	9961.5	145.21	3.22
230	6.51	9837	4.93	9975.42	143.59	3.34
231	6.61	9849	5.05	9989.32	141.59	3.48
232	6.56	9860	4.99	10003.22	139.19	3.41
233	6.71	9872	5.15	10017.1	136.37	3.59
234	6.81	9884	5.27	10030.97	133.1	3.73
235	6.65	9895	5.11	10044.83	129.35	3.56
236	6.74	9907	5.2	10058.66	125.06	3.66
237	6.31	9919	4.69	10072.46	120.18	3.06
238	6.74	9930	5.19	10086.23	114.63	3.63
239	6.24	9942	4.59	10099.96	108.3	2.94
240	6.46	9953	4.84	10113.58	101	3.21
241	6.3	9965	4.66	10126.68	92.25	3.01
242	6.36	9975	4.73	10147.24	98.49	3.1
243	6.32	9984	4.68	10167.35	102.4	3.03
244	6.97	9994	5.41	10187.35	104.15	3.85
245	6.68	10003	5.11	10207.29	103.85	3.53
246	6.86	10013	5.27	10227.18	101.44	3.68
247	6.54	10022	4.93	10247.01	96.77	3.31
248	6.74	10032	5.15	10266.77	89.46	3.56
249	7.04	10041	5.53	10286.44	78.73	4.01
250	6.69	10057	5.1	10305.64	62.45	3.51
251	6.6	10079	4.99	10326.91	82.41	3.38
