#
# ASTM E-490 Reference Spectra Derived from SMARTS v. 2.9.2 (AM1.5)
# Wavelength (nm),
# Irradiance W*m-2*nm-1
#
Wavelength,Irradiance
624.5,1.656E+00
625.5,1.632E+00
626.5,1.697E+00
627.5,1.697E+00
628.5,1.697E+00
629.5,1.677E+00
631,1.639E+00
633,1.651E+00
635,1.656E+00
637,1.654E+00
639,1.651E+00
641,1.614E+00
643,1.621E+00
645,1.627E+00
647,1.603E+00
649,1.558E+00
651,1.606E+00
653,1.599E+00
655,1.532E+00
657,1.384E+00
659,1.549E+00
661,1.571E+00
663,1.555E+00
665,1.560E+00
667,1.535E+00
669,1.546E+00
671,1.516E+00
673,1.521E+00
675,1.510E+00
677,1.508E+00
679,1.498E+00
681,1.492E+00
683,1.479E+00
685,1.455E+00
687,1.467E+00
689,1.461E+00
691,1.448E+00
693,1.448E+00
695,1.436E+00
697,1.416E+00
699,1.425E+00
701,1.386E+00
703,1.388E+00
705,1.415E+00
707,1.400E+00
709,1.384E+00
711,1.385E+00
713,1.373E+00
715,1.366E+00
717,1.354E+00
719,1.328E+00
721,1.331E+00
723,1.348E+00
725,1.350E+00
727,1.346E+00
729,1.319E+00
731,1.326E+00
733,1.318E+00
735,1.309E+00
737,1.307E+00
739,1.278E+00
741,1.258E+00
743,1.286E+00
745,1.279E+00
747,1.283E+00
749,1.270E+00
751,1.262E+00
753,1.259E+00
755,1.255E+00
757,1.248E+00
759,1.240E+00
761,1.237E+00
763,1.241E+00
765,1.221E+00
767,1.185E+00
769,1.203E+00
771,1.204E+00
773,1.208E+00
775,1.188E+00
777,1.196E+00
779,1.187E+00
781,1.187E+00
783,1.176E+00
785,1.180E+00
787,1.177E+00
789,1.174E+00
791,1.158E+00
793,1.143E+00
795,1.134E+00
797,1.152E+00
799,1.135E+00
801,1.142E+00
803,1.129E+00
805,1.115E+00
807,1.120E+00
809,1.095E+00
811,1.114E+00
813,1.115E+00
815,1.107E+00
817,1.104E+00
819,1.063E+00
821,1.080E+00
823,1.073E+00
825,1.075E+00
826,1.080E+00
828,1.081E+00
830,1.063E+00
832,1.051E+00
834,1.041E+00
836,1.052E+00
838,1.044E+00
840,1.040E+00
842,1.036E+00
